repo_name,owner,repo_url,description,language,topics,stars,updated_at,input_url,input_search_query,input_max_pages,warning,warning_code,error,error_code,snapshot_id,snapshot_date,categories,primary_category,input,stars_prev,star_growth,star_growth_rate,momentum_score,signal
BiaPyX/BiaPy,BiaPyX,https://github.com/BiaPyX/BiaPy,,Jupyter Notebook,"['python', 'machine-learning', 'computer-vision', 'deep-learning', 'image-processing']",211,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",211.0,0,0.0,0.0,💤 LOW VELOCITY
Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,Carl-McBride-Ellis,https://github.com/Carl-McBride-Ellis/Compendium-of-free-ML-reading-resources,,Unknown,"['machine-learning', 'statistics', 'random-forest', 'svm', 'linear-regression']",555,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CliMA/ClimaAtmos.jl,CliMA,https://github.com/CliMA/ClimaAtmos.jl,,Julia,"['machine-learning', 'gpu', 'optimization', 'climate', 'julia']",125,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
CliMA/Oceananigans.jl,CliMA,https://github.com/CliMA/Oceananigans.jl,,Julia,"['machine-learning', 'gpu', 'climate', 'julia', 'ocean']",1410,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
Comfy-Org/ComfyUI_frontend,Comfy-Org,https://github.com/Comfy-Org/ComfyUI_frontend,,TypeScript,"['machine-learning', 'generative-ai']",1976,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",1970.0,6,0.3,22.1,🌱 STEADY
DIAGNijmegen/rse-grand-challenge,DIAGNijmegen,https://github.com/DIAGNijmegen/rse-grand-challenge,,Python,"['python', 'docker', 'machine-learning', 'django', 'ai']",193,,,,,,,,,raw_2026_08_21,2026-08-21,MLOps & Orchestration|Core ML & Deep Learning,MLOps & Orchestration,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
DashAISoftware/dashAI,DashAISoftware,https://github.com/DashAISoftware/dashAI,,Python,"['machine-learning', 'deep-learning', 'artificial-intelligence', 'workbench']",428,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",398.0,30,7.54,55.8,⚡ ACCELERATING
Evovest/EvoTrees.jl,Evovest,https://github.com/Evovest/EvoTrees.jl,,Julia,"['machine-learning', 'julia', 'regression', 'logistic', 'quantile']",200,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
GAMS-dev/gamspy,GAMS-dev,https://github.com/GAMS-dev/gamspy,,Python,"['python', 'machine-learning', 'optimization', 'linear-programming', 'modeling-language']",131,,,,,,,,,raw_2026_08_21,2026-08-21,Core ML & Deep Learning,Core ML & Deep Learning,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
GrayboxTech/weightslab,GrayboxTech,https://github.com/GrayboxTech/weightslab,,Python,"['python', 'open-source', 'machine-learning', 'computer-vision', 'deep-learning']",166,,,,,,,,,raw_2026_08_21,2026-08-21,Computer Vision|Core ML & Deep Learning,Computer Vision,"{'url': 'https://github.com/search?q=topic%3Amachine-learning+stars%3A%3E50&type=repositories&s=updated&o=desc', 'max_pages': 15, 'search_query': ''}",,0,0.0,0.0,💤 LOW VELOCITY
